accountid,amount,closedate,opportunityid,opportunity_creation_date__c,ownerid,primary_application__c,stagename,sales_team__c
0014v00002KDm1MAAT,100,4/21/2022,0064v00001sM7PDAA0,8/26/2021,0054v00000E76uBAAR,Robot Pedestals & Bases,Closed Lost,HVS 4
0016g00000CWvGVAA1,15000,10/15/2021,0064v00001sMPTcAAO,9/10/2021,0056g000003LOiqAAG,Milling & Drilling,Closed Lost,EMEA 1
0014v00002ThaHPAAZ,100,5/31/2022,0064v00001sMPiwAAG,9/10/2021,0054v00000Ef8I1AAJ,Other Equipment - Other,Closed Lost,HVS 2
0016g00000BUyOhAAL,4760.99,3/1/2022,0064v00001s8UQAAA2,8/3/2021,0054v00000E76uLAAR,Conveyors,Closed Won,HVS 5
0014v00002SVJVXAA5,1300,9/30/2021,0064v00001sM7h9AAC,8/26/2021,0056g00000572OUAAY,Workstations,Closed Lost,HVS 1
0014v00002SVJd2AAH,1000,9/30/2021,0064v00001sM7ivAAC,8/26/2021,0054v00000E76uLAAR,End-of-Arm Tooling,Closed Lost,HVS 5
0016g00000CWvXOAA1,3800,11/4/2021,0064v00001sM7APAA0,8/26/2021,0054v00000E76u6AAB,Custom Machines,Closed Lost,HVS 2
0014v00002O43zkAAB,5000,6/6/2022,0064v00001sMO2gAAG,9/9/2021,0054v00000E5wVTAAZ,Other Equipment - Other,Closed Lost,HVS 3
0016g00000BVwDxAAL,50000,11/30/2021,0064v00001sLvRyAAK,8/18/2021,0056g0000050oslAAA,Conveyors,Closed Lost,HVS 1
0014v00002SUzzxAAD,1500,2/28/2022,0064v00001sM2hqAAC,8/24/2021,0054v00000E6aXUAAZ,Workstations,Closed Lost,HVS 3
0014v00002WHutnAAD,3100,6/30/2022,0064v00001sM3wWAAS,8/24/2021,0056g00000511ReAAI,Robot Pedestals & Bases,Closed Lost,HVS 1
0014v00002SV3RgAAL,4600,9/30/2021,0064v00001sM454AAC,8/24/2021,0054v00000E76uVAAR,Workstations,Closed Lost,HVS 4
0016g00000CYwleAAD,29934.38,9/30/2021,0064v00001sM475AAC,8/24/2021,0056g0000049sqgAAA,Other Equipment - Other,Closed Won,Strategic Sales
0016g00000CWwBPAA1,406.56,8/30/2021,0064v00001sM5AjAAK,8/25/2021,0056g0000049sqfAAA,Other Equipment - Other,Closed Won,HVS 3
0014v00002TgHQHAA3,2500,10/21/2021,0064v00001sMGXeAAO,9/2/2021,0054v00000E6aXjAAJ,Workstations,Closed Lost,HVS 4
0014v00002Qnk5tAAB,1500,4/30/2022,0064v00001s8Qi3AAE,7/30/2021,0054v00000E5wUpAAJ,Jigs & Fixtures,Closed Lost,HVS 1
0016g00000JMLV3AAP,9903.31,8/19/2021,0064v00001sLvr2AAC,8/18/2021,0056g0000056q5dAAA,Industrial Carts,Closed Won,Strategic Sales
0016g00000BVwP8AAL,5000,11/30/2021,0064v00001sM2omAAC,8/24/2021,0054v00000EEeORAA1,Robot Pedestals & Bases,Closed Lost,HVS 4
0014v00002SV0bmAAD,0,10/31/2022,0064v00001sM2tmAAC,8/24/2021,0054v00000Eg1ckAAB,Cobot Palletizer,Prospect,HVS 1
0014v00002SV0xnAAD,1000,9/30/2021,0064v00001sM39aAAC,8/24/2021,0054v00000E76uGAAR,Cartesian Palletizer,Closed Lost,HVS 2
0016g00000CYv92AAD,74768.12,9/8/2021,0064v00001sLulRAAS,8/17/2021,0054v00000E5wUpAAJ,Part Presenters,Closed Won,HVS 1
0014v00002LUA3lAAH,5000,1/31/2023,0064v00001sMQSGAA4,9/10/2021,0054v00000EeKcGAAV,Workstations,Project Discovery,HVS 3
0014v00002QnPNBAA3,55.08,8/3/2021,0064v00001s8VY2AAM,8/3/2021,0054v00000E5wUpAAJ,Other Equipment - Other,Closed Won,HVS 1
0014v00002ST7hQAAT,9837,10/29/2021,0064v00001sLpz9AAC,8/13/2021,0054v00000E76u6AAB,Workstations,Closed Lost,HVS 2
0014v00002ST8NgAAL,95000,2/28/2022,0064v00001sLq6tAAC,8/13/2021,0054v00000E76uLAAR,Robot Range Extender,Closed Lost,HVS 5
0016g00000CWwCLAA1,7016,8/19/2021,0064v00001sLw5TAAS,8/18/2021,0056g0000056q5dAAA,Robot Pedestals & Bases,Closed Won,Strategic Sales
0014v00002SUF8IAAX,1500,12/6/2021,0064v00001sLw7UAAS,8/18/2021,0054v00000EIPPhAAP,Jigs & Fixtures,Closed Lost,HVS 2
0014v00002O3ppSAAR,4648.36,9/30/2021,0064v00001sM9CQAA0,8/27/2021,0054v00000EIPPmAAP,Other Equipment - Other,Closed Lost,HVS 3
0014v00002Qnf9dAAB,1000,10/30/2021,0064v00001sLuiXAAS,8/17/2021,0054v00000E76uVAAR,Jigs & Fixtures,Closed Lost,HVS 4
0016g00000CWumFAAT,1515.95,10/20/2021,0064v00001sM98sAAC,8/27/2021,0054v00000EIPG1AAP,Workstations,Closed Won,HVS 3
0016g00000ZqsDKAAZ,1500,8/31/2021,0064v00001s8VhdAAE,8/3/2021,0054v00000E5wUpAAJ,Workstations,Closed Lost,HVS 1
0016g00000CZT0mAAH,11280.55,8/19/2021,0064v00001s8WWQAA2,8/4/2021,0056g00000511ReAAI,Robot Pedestals & Bases,Closed Won,HVS 1
0016g00000CWvAGAA1,5237.94,1/17/2022,0064v00001sLqBAAA0,8/13/2021,0054v00000E7EDFAA3,Workstations,Closed Lost,Strategic Sales
0014v00002NhinwAAB,20000,3/31/2022,0064v00001sLqJOAA0,8/13/2021,0056g0000049sqkAAA,Robotics - Gantry Robots,Closed Lost,Strategic Sales
0016g00000CWwBvAAL,5000,2/28/2022,0064v00001sLwCZAA0,8/18/2021,0054v00000E76uLAAR,Workstations,Closed Lost,HVS 5
0016g00000CYvHDAA1,4774.38,9/1/2021,0064v00001sLwIhAAK,8/18/2021,0056g00000572OUAAY,Workstations,Closed Won,HVS 1
0014v00002SUIFQAA5,0,9/30/2021,0064v00001sLwMKAA0,8/18/2021,0054v00000E76u6AAB,Workstations,Closed Lost,HVS 2
0014v00002SUIFQAA5,0,9/30/2021,0064v00001sLwMBAA0,8/18/2021,0054v00000E76u6AAB,Workstations,Closed Lost,HVS 2
0014v00002STfxuAAD,105.33,8/16/2021,0064v00001sLwPEAA0,8/18/2021,0054v00000EIPPIAA5,Other Equipment - Other,Closed Won,HVS 2
0016g00000BVxRbAAL,3857.4,8/30/2021,0064v00001sMAKYAA4,8/30/2021,0056g0000050h9EAAQ,Other Equipment - Other,Closed Won,EMEA 2
0014v00002SVXvvAAH,0,10/30/2021,0064v00001sMAQ7AAO,8/30/2021,0056g0000050h9EAAQ,Cobot Palletizer,Closed Lost,EMEA 2
0014v00002SUIfoAAH,36.71,8/18/2021,0064v00001sLwR0AAK,8/18/2021,0056g0000049sqoAAA,Workstations,Closed Won,HVS 4
0016g00000BVwxPAAT,85.47,9/1/2021,0064v00001sMH0EAAW,9/3/2021,0056g0000050osWAAQ,Other Equipment - Other,Closed Won,HVS 3
0016g00000CWvHzAAL,523.31,9/3/2021,0064v00001sMH3NAAW,9/3/2021,0056g0000049sqfAAA,Other Equipment - Other,Closed Won,HVS 3
0014v00002TgOshAAF,5000,11/18/2021,0064v00001sMHEGAA4,9/3/2021,0054v00000E6aXjAAJ,Workstations,Closed Lost,HVS 4
0014v00002QnPXbAAN,31553.02,9/22/2021,0064v00001sMG8yAAG,9/2/2021,0056g0000049sqgAAA,Robot Pedestals & Bases,Closed Won,Strategic Sales
0014v00002ThZthAAF,0,2/7/2022,0064v00001sMRrSAAW,9/13/2021,0056g00000511ReAAI,Robot Pedestals & Bases,Closed Lost,HVS 1
0016g00000CWv6UAAT,2000,9/30/2021,0064v00001sLvwlAAC,8/18/2021,0056g0000049sqgAAA,Workstations,Closed Lost,Strategic Sales
0014v00002SVApcAAH,3119.25,10/31/2021,0064v00001sM5bLAAS,8/25/2021,0054v00000E76uaAAB,Other Equipment - Other,Closed Lost,HVS 4
0014v00002SV5D3AAL,150000,9/28/2021,0064v00001sM4JYAA0,8/24/2021,0054v00000EIPG1AAP,Cobot Palletizer,Closed Lost,HVS 3
0016g00000CWvcHAAT,1793.97,8/11/2021,0064v00001s8SyuAAE,8/2/2021,0056g00000573PMAAY,Other Equipment - Other,Closed Won,HVS 2
0016g00000Zq2MgAAJ,250,10/29/2021,0064v00001s8TmTAAU,8/2/2021,0054v00000E76uGAAR,Other Equipment - Other,Closed Lost,HVS 2
0016g00000CWvvAAAT,2000,1/21/2022,0064v00001sLxLyAAK,8/19/2021,0056g0000049sqfAAA,Industrial Carts,Closed Lost,HVS 3
0014v00002QlcnVAAR,0,9/30/2021,0064v00001sMAkMAAW,8/30/2021,0056g0000050oslAAA,Other Equipment - Other,Closed Lost,HVS 1
0016g00000Lxc54AAB,600,5/31/2022,0064v00001sMOCCAA4,9/9/2021,0054v00000E5wUpAAJ,Other Equipment - Other,Closed Lost,HVS 1
0016g00000CWvSWAA1,3377.62,9/9/2021,0064v00001sMOs6AAG,9/9/2021,0054v00000EEeP5AAL,Other Equipment - Other,Closed Won,HVS 1
0016g00000FbbNXAAZ,100,9/30/2021,0064v00001s8VrJAAU,8/3/2021,0054v00000E5wVEAAZ,Box Erecting,Closed Lost,HVS 3
0014v00002SUTT1AAP,2000,11/26/2021,0064v00001sLxPbAAK,8/19/2021,0056g0000049sqgAAA,Workstations,Closed Lost,Strategic Sales
0016g00000CWv5QAAT,8959.4,8/25/2021,0064v00001sLpvRAAS,8/13/2021,0054v00000E5wVEAAZ,Industrial Carts,Closed Won,HVS 3
0016g00000BUyOmAAL,363.08,8/23/2021,0064v00001sM5yAAAS,8/25/2021,0054v00000E7EDFAA3,Workstations,Closed Won,Strategic Sales
0014v00002TgwWzAAJ,3000,9/24/2021,0064v00001sMKA6AAO,9/7/2021,0056g000003LOiqAAG,Other Equipment - Other,Closed Lost,EMEA 1
0016g00000Yzq1UAAR,3000,9/30/2021,0064v00001s8TDKAA2,8/2/2021,0054v00000EEeP5AAL,Shelves & Racks,Closed Lost,HVS 1
0016g00000CWvodAAD,880.85,8/3/2021,0064v00001s8UgIAAU,8/3/2021,0056g0000050osWAAQ,Other Equipment - Other,Closed Won,HVS 3
0014v00002QoZHLAA3,239.05,8/6/2021,0064v00001s8ZFPAA2,8/5/2021,0054v00000E76uLAAR,Other Equipment - Other,Closed Won,HVS 5
0014v00002STfxuAAD,105.33,8/16/2021,0064v00001sLsFTAA0,8/16/2021,0054v00000EIPPIAA5,Other Equipment - Other,Closed Won,HVS 2
0016g00000CWwCNAA1,118.75,8/16/2021,0064v00001sLsHyAAK,8/16/2021,0056g00000573PMAAY,Other Equipment - Other,Closed Won,HVS 2
0016g00000CWvNzAAL,4979.2,10/6/2021,0064v00001sLvrvAAC,8/18/2021,0056g0000050osWAAQ,Workstations,Closed Won,HVS 3
0014v00002JiLy6AAF,2039.61,8/16/2021,0064v00001sLsYGAA0,8/16/2021,0054v00000E7EDFAA3,Other Equipment - Other,Closed Won,Strategic Sales
0016g00000CWvNvAAL,4939.91,11/10/2021,0064v00001sLwyGAAS,8/19/2021,0056g000003LOiqAAG,Robot Pedestals & Bases,Closed Won,EMEA 1
0014v00002SV4SjAAL,26000,2/15/2022,0064v00001sLyDoAAK,8/19/2021,0056g0000049sqkAAA,Robot Range Extender,Closed Lost,Strategic Sales
0016g00000BVxY3AAL,9135.08,10/27/2021,0064v00001sMCRFAA4,8/31/2021,0056g0000050oslAAA,Shelves & Racks,Closed Won,HVS 1
0016g00000CWw8bAAD,4076.74,9/7/2021,0064v00001sMKOXAA4,9/7/2021,0056g0000049sqgAAA,Robot Pedestals & Bases,Closed Won,Strategic Sales
0016g00000CWw8bAAD,60000,1/14/2022,0064v00001sLsN8AAK,8/16/2021,0056g0000049sqgAAA,Workstations,Closed Lost,Strategic Sales
0014v00002SThpoAAD,0,3/31/2022,0064v00001sLsRFAA0,8/16/2021,0054v00000E6aXUAAZ,Custom Machines,Closed Lost,HVS 3
0014v00002QneeuAAB,9650,10/29/2021,0064v00001sLzL6AAK,8/20/2021,0054v00000EIPPIAA5,Workstations,Closed Lost,HVS 2
0016g00000CWvqJAAT,18000,1/28/2022,0064v00001sM4t9AAC,8/25/2021,0054v00000E7EDFAA3,Inspection & Testing - Automated Testing,Closed Lost,Strategic Sales
0016g00000BVyI8AAL,2216.75,8/31/2021,0064v00001sMCboAAG,8/31/2021,0054v00000EEeOqAAL,Workstations,Closed Won,HVS 2
0014v00002SVij4AAD,3264.57,9/29/2021,0064v00001sMD9CAAW,8/31/2021,0056g0000049sqoAAA,Robot Pedestals & Bases,Closed Won,HVS 4
0014v00002Jah9qAAB,17000,3/11/2022,0064v00001sMKPMAA4,9/7/2021,0056g0000050oslAAA,Custom Machines,Closed Lost,HVS 1
0014v00002ThRnvAAF,100000,9/20/2021,0064v00001sMNx7AAG,9/9/2021,0054v00000EEeORAA1,Cobot Palletizer,Closed Lost,HVS 4
0016g00000CWuzWAAT,21000,3/31/2022,0064v00001sMOSFAA4,9/9/2021,0054v00000E5wVTAAZ,Other Equipment - Other,Closed Lost,HVS 3
0014v00002QnG0BAAV,200000,2/15/2022,0064v00001sMOw8AAG,9/9/2021,0054v00000EIPPhAAP,Cobot Palletizer,Closed Lost,HVS 2
0014v00002ThadmAAB,10000,3/31/2022,0064v00001sMPqqAAG,9/10/2021,0054v00000E76uLAAR,Part Presenters,Closed Lost,HVS 5
0016g00000BVwnDAAT,12900,12/31/2021,0064v00001sLyvgAAC,8/20/2021,0054v00000EIPPIAA5,Safety Enclosures,Closed Lost,HVS 2
0014v00002ST3esAAD,0,9/30/2021,0064v00001sLpbqAAC,8/13/2021,0056g0000050h9EAAQ,Workstations,Closed Lost,EMEA 2
0014v00002Qm45BAAR,845.18,8/25/2021,0064v00001sLpaEAAS,8/13/2021,0056g0000049sqoAAA,Shelves & Racks,Closed Won,HVS 4
0014v00002SVHMQAA5,180,8/26/2021,0064v00001sM7Q8AAK,8/26/2021,0054v00000EEeORAA1,Other Equipment - Other,Closed Won,HVS 4
0014v00002STcPkAAL,17500,8/31/2022,0064v00001sLzSGAA0,8/20/2021,0056g00000511ReAAI,Inspection & Testing - Part Inspection,Closing Stage,HVS 1
0014v00002Qlyc1AAB,20000,11/30/2021,0064v00001sMMA9AAO,9/8/2021,0054v00000E76uVAAR,Inspection & Testing - Automated Testing,Closed Lost,HVS 4
0016g00000BVxDeAAL,4983.5,8/26/2021,0064v00001sLyshAAC,8/20/2021,0054v00000E5wVTAAZ,Jigs & Fixtures,Closed Won,HVS 3
0014v00002STuYSAA1,362.94,8/17/2021,0064v00001sLtb7AAC,8/17/2021,0054v00000EEeO8AAL,Other Equipment - Other,Closed Won,HVS 4
0014v00002SUUe0AAH,500,9/30/2021,0064v00001sLxc4AAC,8/19/2021,0054v00000E5wVTAAZ,Shelves & Racks,Closed Lost,HVS 3
0014v00002SUieuAAD,406.28,9/4/2021,0064v00001sLzeWAAS,8/20/2021,0054v00000E6aXjAAJ,Other Equipment - Other,Closed Won,HVS 4
0014v00002ST8nFAAT,0,9/30/2022,0064v00001sME3kAAG,9/1/2021,0054v00000E76uVAAR,Robot Pedestals & Bases,Closed Lost,HVS 4
0014v00002Jj237AAB,5000,7/29/2022,0064v00001sMMdeAAG,9/8/2021,0056g00000511ReAAI,Safety Enclosures,Project Discovery,HVS 1
0016g00000CWw6OAAT,3148.79,8/24/2021,0064v00001sLtvgAAC,8/17/2021,0056g00000572OUAAY,Workstations,Closed Won,HVS 1
0016g00000LxcGEAAZ,100,11/29/2021,0064v00001sLtyBAAS,8/17/2021,0054v00000E76uGAAR,Conveyors,Closed Lost,HVS 2
0014v00002SUIkYAAX,30000,10/31/2021,0064v00001sLwOBAA0,8/18/2021,0054v00000E6aXFAAZ,Custom Machines,Closed Lost,HVS 3
0014v00002SUV6JAAX,2734.61,8/24/2021,0064v00001sLxhnAAC,8/19/2021,0054v00000EEeOqAAL,Robot Pedestals & Bases,Closed Won,HVS 2
0016g00000Lxc6LAAR,1120.16,8/24/2021,0064v00001sLppiAAC,8/13/2021,0056g0000050osWAAQ,Robot Pedestals & Bases,Closed Won,HVS 3
0014v00002STgyKAAT,5000,9/30/2021,0064v00001sLsLbAAK,8/16/2021,0054v00000E76uVAAR,Workstations,Closed Lost,HVS 4
0016g00000CWuqFAAT,6282.88,3/15/2022,0064v00001sLtXjAAK,8/17/2021,0056g0000056q5dAAA,Workstations,Closed Won,Strategic Sales
0014v00002ThZieAAF,0,9/30/2021,0064v00001sMSUUAA4,9/13/2021,0054v00000E76u6AAB,Workstations,Closed Lost,HVS 2
0014v00002Thsy7AAB,1500,4/15/2022,0064v00001sMSngAAG,9/13/2021,0056g0000049sqhAAA,Robot Pedestals & Bases,Closed Lost,Strategic Sales
0016g00000CYvvVAAT,9529.09,3/30/2022,0064v00001tmZaDAAU,3/17/2022,0054v00000EfDVyAAN,Robot Pedestals & Bases,Closed Won,HVS BOS
0016g00000CWw0uAAD,481.02,3/18/2022,0064v00001tmbaaAAA,3/18/2022,0056g0000049sqkAAA,Jigs & Fixtures,Closed Won,Strategic Sales
0014v00002eXqapAAC,1334.29,3/21/2022,0064v00001tmaavAAA,3/18/2022,0054v00000Edh2nAAB,Robot Pedestals & Bases,Closed Won,EMEA 1
0016g00000CWuo7AAD,875.2,3/19/2022,0064v00001tmc3FAAQ,3/19/2022,0054v00000E76uBAAR,Parts,Closed Won,HVS 4
0014v00002hFwWVAA0,2000,6/30/2022,0064v00001wJK9CAAW,5/23/2022,0054v00000Eev0xAAB,AGV Top Modules,Closed Lost,EMEA 1
0014v00002hEObiAAG,2000,9/30/2022,0064v00001wJK0yAAG,5/23/2022,0054v00000EflVnAAJ,Workstations,Prospect,EMEA 1
0014v00002hFvlyAAC,11000,7/21/2022,0064v00001wJK0AAAW,5/23/2022,0054v00000Edh2nAAB,Workstations,Project Quoted,EMEA 1
0014v00002hFwAPAA0,120000,7/31/2022,0064v00001wJK3iAAG,5/23/2022,0054v00000EdgdTAAR,Bin Picking,Design Review,EMEA 2
0014v00002hE6Y9AAK,727.94,5/23/2022,0064v00001wJK6wAAG,5/23/2022,0054v00000EfDW3AAN,Jigs & Fixtures,Closed Won,HVS BOS
0014v00002hFwInAAK,2000,6/14/2022,0064v00001wJK5UAAW,5/23/2022,0054v00000EfQRfAAN,Robot Pedestals & Bases,Closed Lost,EMEA 2
0014v00002hFvXwAAK,252.41,5/23/2022,0064v00001wJJveAAG,5/23/2022,0054v00000Ef8IVAAZ,Parts,Closed Won,HVS BOS
0014v00002dNKePAAW,8000,4/12/2022,0064v00001tmYeKAAU,3/17/2022,0054v00000EdgdTAAR,Industrial Carts,Closed Lost,EMEA 2
0016g00000Lxc6LAAR,5841.23,3/24/2022,0064v00001tmdD1AAI,3/21/2022,0056g0000050osWAAQ,Box Erecting,Closed Won,HVS 3
0016g00000CYvL8AAL,1200,4/5/2022,0064v00001tmduyAAA,3/21/2022,0054v00000EEeO8AAL,Parts,Closed Lost,HVS 4
0014v00002eXuDCAA0,4000,5/31/2022,0064v00001tmbhzAAA,3/18/2022,0054v00000E76uVAAR,Workstations,Closed Lost,HVS 4
0016g00000CWv3dAAD,146.03,3/11/2022,0064v00001tmdH3AAI,3/21/2022,0054v00000EEeOqAAL,Parts,Closed Won,HVS 2
0014v00002eYBu9AAG,10000,5/31/2022,0064v00001tmdQoAAI,3/21/2022,0056g0000049sqkAAA,Conveyors,Closed Lost,Strategic Sales
0014v00002YQJOBAA5,3420.41,3/21/2022,0064v00001tme11AAA,3/21/2022,0054v00000E6aXUAAZ,Robot Pedestals & Bases,Closed Won,HVS 3
0014v00002eYK5cAAG,5000,4/30/2022,0064v00001tmeasAAA,3/22/2022,0054v00000EdgdTAAR,Conveyors,Closed Lost,EMEA 2
0014v00002eWsTtAAK,6000,8/31/2022,0064v00001tmecUAAQ,3/22/2022,0054v00000Ee1TPAAZ,Conveyors,Closed Lost,EMEA 1
0016g00000PBbciAAD,40000,9/30/2022,0064v00001tmcs5AAA,3/21/2022,0054v00000EdgdTAAR,Dispensing,Prospect,EMEA 2
0016g00000CWw2aAAD,20000,6/30/2022,0064v00001tmdw6AAA,3/21/2022,0054v00000E76uGAAR,Robot Range Extender,Closed Lost,HVS 2
0014v00002WHTslAAH,135000,7/29/2022,0064v00001tme5DAAQ,3/21/2022,0054v00000Ef8J4AAJ,Conveyors,Project Quoted,HVS BOS
0014v00002eXldZAAS,150000,7/31/2022,0064v00001tmZnRAAU,3/17/2022,0054v00000E76uVAAR,Gantry Robot,Project Discovery,HVS 4
0014v00002eVjxsAAC,100000,12/30/2022,0064v00001tmdMSAAY,3/21/2022,0054v00000Ef8XLAAZ,Cobot Palletizer,Prospect,HVS 5
0016g00000JMLP1AAP,,3/31/2022,0064v00001tmaBEAAY,3/17/2022,0056g000000YuwFAAS,,Prospect,Shark Tank
0016g00000CWw0YAAT,180000,6/23/2022,0064v00001tme9jAAA,3/21/2022,0054v00000Edh3RAAR,Robotic Tending Cells,Closed Lost,HVS 5
0014v00002TiiNpAAJ,111.17,3/20/2022,0064v00001tmcTaAAI,3/20/2022,0054v00000E5wVdAAJ,Parts,Closed Won,HVS 3
0016g00000qcRphAAE,5000,6/30/2022,0064v00001tmbDLAAY,3/18/2022,0056g0000049sqhAAA,Robot Pedestals & Bases,Design Review,Strategic Sales
0016g00000MvchNAAR,149.41,6/10/2021,0064v00001s7NQ4AAM,6/22/2021,0056g000003LOn7AAG,Workstations,Closed Won,Strategic Sales
0014v00002O5xlZAAR,3496.12,6/22/2021,0064v00001s7NUuAAM,6/22/2021,0056g0000056q5dAAA,Robot Pedestals & Bases,Closed Won,Strategic Sales
0016g00000CWvvbAAD,60000,10/31/2021,0064v00001s7jjwAAA,7/5/2021,0056g00000511ReAAI,Robot Range Extender,Closed Lost,HVS 1
0014v00002KEo2mAAD,236.48,6/3/2021,0064v00001s6wWPAAY,6/3/2021,0054v00000EEeP5AAL,Other Equipment - Other,Closed Won,HVS 1
0014v00002O3oyGAAR,1,6/30/2021,0064v00001s6wZiAAI,6/3/2021,0054v00000EEeP5AAL,Custom Machines,Closed Lost,HVS 1
0014v00002O3o46AAB,80000,8/31/2021,0064v00001s6wFxAAI,6/3/2021,0054v00000E5wVTAAZ,Part Presenters,Closed Lost,HVS 3
0014v00002O3pmQAAR,2000,10/29/2021,0064v00001s6x1yAAA,6/3/2021,0054v00000EIPPIAA5,Workstations,Closed Lost,HVS 2
0014v00002O3ygeAAB,6000,11/16/2021,0064v00001s6ywaAAA,6/4/2021,0054v00000EEeO8AAL,Robot Pedestals & Bases,Closed Lost,HVS 4
0014v00002O3yLMAAZ,0,9/30/2021,0064v00001s6yr6AAA,6/4/2021,0054v00000E5wVdAAJ,Cobot Palletizer,Closed Lost,HVS 3
0016g00000NhoosAAB,0,12/31/2021,0064v00001s6yQ1AAI,6/4/2021,0056g00000572OUAAY,Robotics - Gantry Robots,Closed Lost,HVS 1
0014v00002O3xkpAAB,3500,7/30/2021,0064v00001s6ydOAAQ,6/4/2021,0054v00000EIPPIAA5,Workstations,Closed Lost,HVS 2
0014v00002O4Cu6AAF,9672.27,6/23/2021,0064v00001s70GyAAI,6/7/2021,0056g000003LOiqAAG,Inspection & Testing - Lab Automation,Closed Won,EMEA 1
0016g00000CYvYgAAL,2000,11/30/2021,0064v00001s6wzsAAA,6/3/2021,0054v00000E5wVdAAJ,Sanding & Polishing,Closed Lost,HVS 3
0014v00002O3pnxAAB,100000,7/28/2021,0064v00001s6x2SAAQ,6/3/2021,0056g0000056q5dAAA,Cartesian Palletizer,Closed Lost,Strategic Sales
0014v00002O7PWIAA3,100000,9/30/2021,0064v00001s7qCLAAY,7/7/2021,0054v00000E6aXFAAZ,Cobot Palletizer,Closed Lost,HVS 3
0014v00002O3nylAAB,7475.79,7/30/2021,0064v00001s7syxAAA,7/9/2021,0054v00000EEeO8AAL,Custom Machines,Closed Won,HVS 4
0014v00002M9H65AAF,80000,8/31/2021,0064v00001s7rscAAA,7/8/2021,0054v00000EIPPmAAP,Custom Machines,Closed Lost,HVS 3
0016g00000FbbGYAAZ,2000,9/30/2021,0064v00001s7r2xAAA,7/8/2021,0054v00000EEeONAA1,Conveyors,Closed Lost,HVS 4
0016g00000CYtyPAAT,1814.06,7/8/2021,0064v00001s7ry6AAA,7/8/2021,0054v00000EIPPmAAP,Shelves & Racks,Closed Won,HVS 3
0014v00002JZoQSAA1,2000,7/30/2021,0064v00001s7qNEAAY,7/7/2021,0056g00000573PMAAY,Robot Pedestals & Bases,Closed Lost,HVS 2
0014v00002QldnQAAR,2000,11/30/2021,0064v00001s7tfDAAQ,7/9/2021,0054v00000E76uBAAR,Workstations,Closed Lost,HVS 4
0016g00000BVwdNAAT,1500,8/31/2021,0064v00001s7qxEAAQ,7/8/2021,0056g0000050h9EAAQ,Robot Pedestals & Bases,Closed Lost,EMEA 2
0014v00002hFJHuAAO,500,7/31/2022,0064v00001wJG3MAAW,5/19/2022,0054v00000EfDVtAAN,Robotic Tending Cells,Closed Lost,HVS 5
0016g00000CWvNcAAL,2000,7/29/2022,0064v00001wJG8HAAW,5/19/2022,0056g00000511ReAAI,Gantry Robot,Design Review,HVS 1
0014v00002SV882AAD,1263.59,5/20/2022,0064v00001wJFmQAAW,5/19/2022,0054v00000EeKcBAAV,Jigs & Fixtures,Closed Won,HVS 1
